Time: 15-Jan-17 15:02:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:25; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:43; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:45; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:02:47; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; 0; 60
Time: 15-Jan-17 15:10:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 15-Jan-17 15:10:36; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 15-Jan-17 15:10:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 20:35:46; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -74.3144825477394; Low: -55; High: 75
Time: 16-Jan-17 20:35:48; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -80.9016994374947; Low: -55; High: 75
Time: 16-Jan-17 20:36:51; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -89.1006524188368; Low: -55; High: 75
Time: 16-Jan-17 20:36:53; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -93.3580426497202; Low: -55; High: 75
Time: 16-Jan-17 20:36:55; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -96.5925826289068; Low: -55; High: 75
Time: 16-Jan-17 20:36:55; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -96.5925826289068; Low: -95; High: 85
Time: 16-Jan-17 20:37:13; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 62.9320391049838; Low: 0; High: 60
Time: 16-Jan-17 20:37:15; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 70.7106781186547; Low: 0; High: 60
Time: 16-Jan-17 20:37:17; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 77.7145961456971; Low: 0; High: 60
Time: 16-Jan-17 20:37:19; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 83.8670567945424; Low: 0; High: 60
Time: 16-Jan-17 20:38:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 86.6025403784439; Low: -55; High: 75
Time: 16-Jan-17 20:38:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 16-Jan-17 20:38:12; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 80.9016994374947; Low: -55; High: 75
Time: 16-Jan-17 20:38:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 16-Jan-17 20:38:16; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 74.3144825477394; Low: 0; High: 60
Time: 16-Jan-17 20:43:12; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 80.9016994374947; Low: -55; High: 75
Time: 16-Jan-17 20:43:16; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 74.3144825477394; Low: 0; High: 60
Time: 16-Jan-17 20:43:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 80.9016994374947; Low: 0; High: 60
Time: 16-Jan-17 20:43:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 16-Jan-17 20:43:22; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 20:47:50; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -86.6025403784439; Low: -55; High: 75
Time: 16-Jan-17 20:47:52; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -91.3545457642601; Low: -55; High: 75
Time: 16-Jan-17 20:47:54; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -95.1056516295154; Low: -55; High: 75
Time: 16-Jan-17 20:47:54; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -95.1056516295154; Low: -95; High: 85
Time: 16-Jan-17 20:47:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -97.8147600733806; Low: -55; High: 75
Time: 16-Jan-17 20:47:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 16-Jan-17 20:47:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -99.4521895368273; Low: -55; High: 75
Time: 16-Jan-17 20:47:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 20:53:53; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -93.3580426497202; Low: -55; High: 75
Time: 16-Jan-17 20:53:55; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -96.5925826289068; Low: -55; High: 75
Time: 16-Jan-17 20:53:55; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -96.5925826289068; Low: -95; High: 85
Time: 16-Jan-17 20:53:57; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -98.7688340595138; Low: -55; High: 75
Time: 16-Jan-17 20:53:57; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -98.7688340595138; Low: -95; High: 85
Time: 16-Jan-17 20:54:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 1; Tag Value: 0; Low: 0; High: 60
Time: 16-Jan-17 20:54:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 20:54:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 16-Jan-17 20:54:42; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 80.9016994374947; Low: 0; High: 60
Time: 16-Jan-17 20:57:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -97.8147600733806; Low: -55; High: 75
Time: 16-Jan-17 20:57:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 16-Jan-17 20:57:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -99.4521895368273; Low: -55; High: 75
Time: 16-Jan-17 20:57:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 20:58:00; Tag:AI 1; Description: ; Type: Low boundary exceeded; AlarmID: 1; Tag Value: 0; Low: 0; High: 60
Time: 16-Jan-17 21:16:21; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 89.1006524188368; Low: 0; High: 60
Time: 16-Jan-17 21:16:23; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 93.3580426497202; Low: 0; High: 60
Time: 16-Jan-17 21:17:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 16-Jan-17 21:17:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:17:04; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 97.8147600733806; Low: -95; High: 85
Time: 16-Jan-17 21:17:04; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 97.8147600733806; Low: -55; High: 75
Time: 16-Jan-17 21:17:04; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 97.8147600733806; Low: -95; High: 85
Time: 16-Jan-17 21:17:06; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 95.1056516295154; Low: -95; High: 85
Time: 16-Jan-17 21:17:06; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 95.1056516295154; Low: -55; High: 75
Time: 16-Jan-17 21:17:06; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 95.1056516295154; Low: -95; High: 85
Time: 16-Jan-17 21:17:08; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 91.3545457642601; Low: -95; High: 85
Time: 16-Jan-17 21:17:08; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 91.3545457642601; Low: -55; High: 75
Time: 16-Jan-17 21:17:08; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 91.3545457642601; Low: -95; High: 85
Time: 16-Jan-17 21:17:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 16-Jan-17 21:17:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 86.6025403784439; Low: -55; High: 75
Time: 16-Jan-17 21:17:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 16-Jan-17 21:17:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 16-Jan-17 21:17:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 16-Jan-17 21:17:16; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 74.3144825477394; Low: 0; High: 60
Time: 16-Jan-17 21:17:16; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 74.3144825477394; Low: 0; High: 60
Time: 16-Jan-17 21:17:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 80.9016994374947; Low: 0; High: 60
Time: 16-Jan-17 21:17:18; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 80.9016994374947; Low: 0; High: 60
Time: 16-Jan-17 21:17:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 16-Jan-17 21:17:20; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 16-Jan-17 21:17:22; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 21:17:22; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 21:17:24; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 16-Jan-17 21:17:24; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 16-Jan-17 21:17:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 16-Jan-17 21:17:26; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 16-Jan-17 21:17:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 16-Jan-17 21:17:28; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 16-Jan-17 21:17:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 100; Low: 0; High: 60
Time: 16-Jan-17 21:17:30; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 100; Low: 0; High: 60
Time: 16-Jan-17 21:17:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 16-Jan-17 21:17:32; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.4521895368273; Low: 0; High: 60
Time: 16-Jan-17 21:17:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 16-Jan-17 21:17:34; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 97.8147600733806; Low: 0; High: 60
Time: 16-Jan-17 21:17:36; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 16-Jan-17 21:17:36; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 16-Jan-17 21:17:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 21:17:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 21:17:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 83.8670567945424; Low: 0; High: 60
Time: 16-Jan-17 21:17:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 83.8670567945424; Low: 0; High: 60
Time: 16-Jan-17 21:20:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -99.4521895368273; Low: -55; High: 75
Time: 16-Jan-17 21:20:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:21:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 100; Low: -55; High: 75
Time: 16-Jan-17 21:21:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 16-Jan-17 21:21:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 99.4521895368273; Low: -55; High: 75
Time: 16-Jan-17 21:21:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:25:08; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 91.3545457642601; Low: -95; High: 85
Time: 16-Jan-17 21:25:10; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 86.6025403784439; Low: -95; High: 85
Time: 16-Jan-17 21:28:46; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -74.3144825477394; Low: -55; High: 75
Time: 16-Jan-17 21:28:48; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -80.9016994374947; Low: -55; High: 75
Time: 16-Jan-17 21:28:50; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -86.6025403784439; Low: -55; High: 75
Time: 16-Jan-17 21:31:27; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 98.7688340595138; Low: 0; High: 60
Time: 16-Jan-17 21:31:29; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.8629534754574; Low: 0; High: 60
Time: 16-Jan-17 21:31:31; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 99.8629534754574; Low: 0; High: 60
Time: 16-Jan-17 21:31:33; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 98.7688340595138; Low: 0; High: 60
Time: 16-Jan-17 21:31:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 96.5925826289068; Low: 0; High: 60
Time: 16-Jan-17 21:31:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 93.3580426497202; Low: 0; High: 60
Time: 16-Jan-17 21:31:39; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 89.1006524188368; Low: 0; High: 60
Time: 16-Jan-17 21:31:41; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 83.8670567945424; Low: 0; High: 60
Time: 16-Jan-17 21:31:43; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 77.7145961456971; Low: 0; High: 60
Time: 16-Jan-17 21:31:45; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 70.7106781186548; Low: 0; High: 60
Time: 16-Jan-17 21:34:36; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 16-Jan-17 21:34:36; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 95.1056516295154; Low: 0; High: 60
Time: 16-Jan-17 21:34:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 21:34:38; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 91.3545457642601; Low: 0; High: 60
Time: 16-Jan-17 21:34:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 16-Jan-17 21:34:40; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 86.6025403784439; Low: 0; High: 60
Time: 16-Jan-17 21:36:54; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -95.1056516295154; Low: -95; High: 85
Time: 16-Jan-17 21:36:54; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -95.1056516295154; Low: -95; High: 85
Time: 16-Jan-17 21:36:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 16-Jan-17 21:36:56; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -97.8147600733806; Low: -95; High: 85
Time: 16-Jan-17 21:36:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:36:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:36:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 4; Tag Value: -99.4521895368273; Low: -55; High: 75
Time: 16-Jan-17 21:36:58; Tag:AI 2; Description: ; Type: Low boundary exceeded; AlarmID: 10; Tag Value: -99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:37:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 16-Jan-17 21:37:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 16-Jan-17 21:37:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 100; Low: -55; High: 75
Time: 16-Jan-17 21:37:00; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 100; Low: -95; High: 85
Time: 16-Jan-17 21:37:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:37:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:37:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 4; Tag Value: 99.4521895368273; Low: -55; High: 75
Time: 16-Jan-17 21:37:02; Tag:AI 2; Description: ; Type: High boundary exceeded; AlarmID: 10; Tag Value: 99.4521895368273; Low: -95; High: 85
Time: 16-Jan-17 21:37:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 16-Jan-17 21:37:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 16-Jan-17 21:37:14; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 66.9130606358858; Low: 0; High: 60
Time: 16-Jan-17 21:54:35; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 96.5925826289068; Low: 0; High: 60
Time: 16-Jan-17 21:54:37; Tag:AI 1; Description: ; Type: High boundary exceeded; AlarmID: 1; Tag Value: 93.3580426497202; Low: 0; High: 60
